year,time_code,country,country_code,co2_emissions,epr_female,epr_male,income_pc,population,pupils_pri_educ,pupils_sec_educ,region
1991,YR1991,Nigeria,NGA,0.432826876,53.3730011,64.40599823,412.4300398,97667632,13776854,,Africa
1991,YR1991,Ethiopia,ETH,0.060168109,64.31199646,87.2480011,237.471054,49609969,2466464,866016,Africa
1991,YR1991,"Egypt, Arab Rep.",EGY,1.370769529,16.72400093,68.3690033,545.8134365,57424549,6964306,5507257,Africa
1991,YR1991,"Congo, Dem. Rep.",COD,0.082514088,68.96199799,68.60299683,,35908244,4562430,,Africa
1991,YR1991,South Africa,ZAF,8.653758151,26.74699974,53.13299942,2621.15505,37718950,7210021,2939270,Africa
1991,YR1991,China,CHN,2.229439639,71.6230011,82.4940033,290.3096755,1150780000,122413800,52385600,Asia
1991,YR1991,India,IND,0.738482682,28.76300049,79.8769989,263.4656374,891273209,99118320,,Asia
1991,YR1991,Indonesia,IDN,0.973664977,45.1230011,80.20400238,537.0612145,184591903,29753576,10965430,Asia
1991,YR1991,Pakistan,PAK,0.616029093,13.79100037,83.81900024,383.3821236,110778648,,4345464,Asia
1991,YR1991,Bangladesh,BGD,0.15095247,24.30200005,86.1989975,275.1154841,105599127,,,Asia
1991,YR1991,Cuba,CUB,2.783521534,32.30899811,61.86500168,1986.60115,10673542,887737,1002338,The Carribean
1991,YR1991,Dominican Republic,DOM,1.381478401,31.63899994,78.15100098,1222.844367,7270409,1073189,,The Carribean
1991,YR1991,Haiti,HTI,0.138943948,52.98699951,72.71600342,465.438875,7178607,,,The Carribean
1991,YR1991,Jamaica,JAM,3.179435452,49.92200089,70.95999908,1359.147327,2439334,339500,252070,The Carribean
1991,YR1991,Trinidad and Tobago,TTO,13.84333127,38.58300018,73.43299866,3005.100498,1229103,193992,97493,The Carribean
1991,YR1991,United States,USA,19.05616319,52.47999954,69.33100128,20353.1215,252981000,,,North & Central America
1991,YR1991,Mexico,MEX,3.881986429,32.66600037,82.51699829,3028.650093,57424897,4532500,4335600,North & Central America
1991,YR1991,Canada,CAN,15.22180457,52.24200058,66.85500336,17497.90048,85512623,14401588,6704297,North & Central America
1991,YR1991,Guatemala,GTM,0.532846371,36.94499969,84.87400055,880.975207,28037420,2375704,2292497,North & Central America
1991,YR1991,Honduras,HND,0.529344676,42.04600143,85.53399658,789.7902577,9483270,1249413,294907,North & Central America
1991,YR1991,Brazil,BRA,1.446313753,38.46300125,78.43199921,3405.824444,5098591,908446,194083,South America
1991,YR1991,Colombia,COL,1.692051922,43.87099838,77.29000092,1206.663292,151648011,19002864,,South America
1991,YR1991,Argentina,ARG,3.539959219,43.54199982,71.98000336,5094.716164,33758337,4310970,2377947,South America
1991,YR1991,Peru,PER,0.901022885,40.97800064,69.72899628,1353.264629,33079000,5043792,2263263,South America
1991,YR1991,"Venezuela, RB",VEN,5.744377291,41.34400177,71.76699829,2321.534259,22522378,3857465,1710715,South America
1991,YR1991,Australia,AUS,15.12796621,47.26100159,67.40699768,14609.74773,20096317,3183729,1200397,Oceania
1991,YR1991,Papua New Guinea,PNG,0.436885084,69.49700165,71.19200134,594.9497305,17284000,1605720,,Oceania
1991,YR1991,New Zealand,NZL,6.891034877,48.39099884,65.40499878,9455.013339,4725547,422348,68506,Oceania
1991,YR1991,Fiji,FJI,0.912510318,38.09799957,77.2559967,1615.964514,3495100,316107,345338,Oceania
1991,YR1991,Solomon Islands,SLB,0.457260428,80.1969986,82.65200043,645.5531795,735401,122008,84557,Oceania
1991,YR1991,Russian Federation,RUS,,55.48300171,71.52999878,,320780,49000,6363,Europe
1991,YR1991,Germany,DEU,11.62264617,44.81999969,69.19400024,19850.13136,148624000,7596000,14229680,Europe
1991,YR1991,Turkey,TUR,2.710033627,31.5170002,73.16999817,2275.762872,54840590,6861711,3808142,Europe
1991,YR1991,France,FRA,6.67168905,40.97999954,59.81499863,18443.11386,58559311,4149143,5521862,Europe
1991,YR1991,United Kingdom,GBR,9.870809033,47.97999954,66.48799896,16968.42554,80013896,3431385,7398011,Europe
1992,YR1992,Nigeria,NGA,0.465396447,53.23799896,64.11000061,377.0401216,100161710,14805937,,Africa
1992,YR1992,Ethiopia,ETH,0.057689541,64.31199646,87.39199829,171.2238905,51423585,2063636,782412,Africa
1992,YR1992,"Egypt, Arab Rep.",EGY,1.385184936,17.68000031,67.75499725,600.8256831,58666814,6541725,5284174,Africa
1992,YR1992,"Congo, Dem. Rep.",COD,0.075434255,68.9489975,69.03399658,,37333914,4622758,1097095,Africa
1992,YR1992,South Africa,ZAF,7.801071104,26.9659996,52.79899979,2831.861464,38672607,,,Africa
1992,YR1992,China,CHN,2.309463675,71.51699829,82.49199677,322.3554911,1164970000,121641500,53690000,Asia
1992,YR1992,India,IND,0.768813909,28.7329998,79.80699921,276.3230756,909307016,101577089,,Asia
1992,YR1992,Indonesia,IDN,1.079025844,47.10900116,79.84899902,581.5960763,187739786,29577704,10920580,Asia
